observations,subject_ids,CortexVol,Right-Amygdala,Right-Lateral-Ventricle,WM-hypointensities
0,AnnArbor_a_sub04111,-1.765927746496324,-3.49161257425682,-0.8940092752294242,-0.21452404170704686
1,AnnArbor_a_sub04619,-0.6964502384982426,-0.9352862179201469,-1.5989583089346104,-0.07116256180143843
3,AnnArbor_a_sub13959,-0.7928345030963012,-0.9590440636926899,-0.5797281171965347,-0.45259737317033083
4,AnnArbor_a_sub16960,-0.7932964711758335,-1.401258564725806,-3.081742393054281,-0.22550648819863775
5,AnnArbor_a_sub18698,-0.6485288802457363,-0.9037843431045935,-0.5151340732721768,-1.0408559293484765
6,AnnArbor_a_sub20317,-1.2727980166298034,-1.2224628570897684,-0.5592284282311767,-0.8980155639748878
7,AnnArbor_a_sub28433,-0.6382369946043501,-1.180598508663625,-1.2648542220007868,-1.3229318989457466
8,AnnArbor_a_sub30421,-1.1014473584376352,-2.434945528851775,-0.5365945963040434,-2.5225741228280563
9,AnnArbor_a_sub34781,-2.165366260059962,-1.4853148739555044,-0.27083000496371973,-0.10521403715341542
10,AnnArbor_a_sub38614,-1.1083110736400443,-0.8147471900934952,-0.890193357413303,-0.08676105091404397
11,AnnArbor_a_sub45660,-0.6719504170540255,-0.8380126358864477,-0.3215645814959279,-0.512777553133583
12,AnnArbor_a_sub46727,-0.8424976349697857,-1.9641406731356041,-0.12895262924377385,-1.8460290319107333
13,AnnArbor_a_sub47191,-0.6410716110936335,-1.181262314974819,-0.5442505657415585,-0.7561781773845009
14,AnnArbor_a_sub47659,-0.6906871653095841,-0.8779788858488703,-0.9766190419374204,-0.8629528109501772
15,AnnArbor_a_sub49687,-1.1544121537946237,-1.0148863826060714,-0.39866804200544526,-7.299279547292918
17,AnnArbor_a_sub56028,-0.8943107903305834,-0.7731965720634371,-0.6511831800968823,0.07463186434059685
20,AnnArbor_a_sub75922,-0.6517044727428967,-0.7498061672441751,-1.3043090786814224,0.03556121786368274
21,AnnArbor_a_sub82334,-0.877533496053898,-0.821071217294875,-0.12086238727326773,-0.4708420888499082
22,AnnArbor_a_sub86367,-0.8155871786881241,-0.8496956143736558,-0.41302280460188184,-3.463278542768911
24,AnnArbor_b_sub00306,-0.6078068660124845,-0.8829575689923187,-1.231644702449219,-1.7285492055412919
25,AnnArbor_b_sub07921,-1.3964894026828623,-0.7944844870738466,-0.5308497201380042,-0.33200596791867826
26,AnnArbor_b_sub11043,-1.1944811577178063,-0.8863870575580676,-1.5022390355032127,0.04770578878832622
28,AnnArbor_b_sub26099,-1.6408437607454271,-0.8379612335781781,-2.471760301754412,-3.5882103769442115
30,AnnArbor_b_sub33437,-0.9009471554717754,-0.765206619210424,-0.5092236129580289,0.06578977793196279
31,AnnArbor_b_sub39635,-0.6246762415884842,-0.7408359231334213,-0.2938702627845184,0.04954151465138687
32,AnnArbor_b_sub39923,-0.971469631840604,-1.2028128867434642,-3.4107455333958256,-1.2782353036950687
33,AnnArbor_b_sub42616,-1.9349022222689867,-1.549841898115937,-0.5438865639784687,0.028070614775919687
36,AnnArbor_b_sub50859,-1.5385154665621956,-0.9513221602294172,-1.4874382680658056,-3.357189085790597
37,AnnArbor_b_sub53269,-6.523185308969009,-1.139542030077794,-0.2521825205628005,-0.6697175331431977
38,AnnArbor_b_sub53959,-0.7893838395100307,-1.0812442739547679,-0.3967955362007936,-0.21198705834233172
39,AnnArbor_b_sub57025,-0.9910246528592853,-0.6529658300151713,-1.2272949846919707,-1.98286184081635
40,AnnArbor_b_sub57196,-0.7147453956368385,-0.9320472985132923,-1.6876450483595584,-1.6539366836094054
41,AnnArbor_b_sub59573,-0.7852224075713897,-0.7576074272435217,-0.9601240801905709,-0.8237265443839444
42,AnnArbor_b_sub62819,-1.7368791526047203,-1.3417746633679006,-2.7797231860464255,-1.7557738046051894
43,AnnArbor_b_sub64831,-0.8699691093316241,-1.7484514353013572,-0.6169771366446681,-0.010233195245401358
44,AnnArbor_b_sub64969,-5.760011825400468,-2.074937383261771,-0.7802828043914475,-2.6704671644460207
45,AnnArbor_b_sub66506,-0.723553252709698,-0.8881537955695283,-1.6196563849024581,-1.9761457101617563
46,AnnArbor_b_sub72215,-0.6294464004754299,-1.282390839196151,-1.0757523429428277,-2.217397030444352
47,AnnArbor_b_sub73168,-1.687501314971393,-1.0150319798313199,-3.1765148048868705,-2.273686125366175
48,AnnArbor_b_sub73812,-0.6823183412342113,-0.9035331344097969,-0.5933960887304,0.09557699066103009
49,AnnArbor_b_sub78151,-1.342123485019078,-0.9461618369950096,-0.9303247380077979,-0.26346325774052637
50,AnnArbor_b_sub85257,-0.6411361655558001,-1.4078037131294736,-1.3217002190603981,-0.8707279560365351
52,AnnArbor_b_sub90950,-0.950858465987056,-0.7884087101560867,-1.1017381469535492,-1.0649148776852813
53,AnnArbor_b_sub97518,-0.6072112619979276,-1.0060143520579483,-0.665552037330673,-0.10315353252862498
55,AnnArbor_b_sub99692,-0.6097804212944007,-0.8664329940961634,-1.6890580016191983,-2.0141616480291256
56,Atlanta_sub00354,-0.643923357871475,-1.2549189518228419,-0.5273842134446981,0.1029840813637669
57,Atlanta_sub00368,-0.6592517454596932,-0.987499036468585,-0.5927322152109413,-0.003583224036064585
58,Atlanta_sub06870,-0.6455808900675204,-0.7315711353999281,-1.1684511445326857,-0.7512613747062383
59,Atlanta_sub07145,-2.7599220671023605,-4.742511933890041,-0.5856420546505148,0.12319924712472408
60,Atlanta_sub15817,-0.7410962990756603,-1.4741326649092228,-0.9458006459940731,0.01575907904345539
62,Atlanta_sub18219,-1.2374054989896357,-0.7919382698973623,-1.7510713106886655,-1.0997623512727155
64,Atlanta_sub24972,-0.6870610599045477,-0.7575406405188347,-0.40894211461553714,-0.24945662299827273
65,Atlanta_sub26938,-1.3890849447188975,-2.451476971752723,-0.6770283318724036,0.06499739242734678
66,Atlanta_sub32093,-1.3171595972655763,-1.2381622563503951,-0.5786760963155151,-0.24629067917261815
67,Atlanta_sub49816,-0.7121116111841203,-1.2232255919914479,-0.4111772108846232,0.10172082044447216
68,Atlanta_sub52783,-0.8100755884132999,-2.0862971848181857,-1.3869893576304073,-0.3700742040151424
69,Atlanta_sub53122,-0.6349785401171887,-2.0508334069864116,-2.7358003337469934,0.027737415811668883
70,Atlanta_sub55652,-1.3684559382023445,-0.8561002082800413,-0.5590664883176572,-0.023719389383583294
72,Atlanta_sub59806,-1.4765927721694814,-1.250117805421788,-0.32681041767314695,-0.05480039387972257
73,Atlanta_sub60499,-1.7624006244572927,-2.0728189806890898,-0.7325071048751597,-0.9215963237323852
74,Atlanta_sub61442,-0.8391382808379035,-1.527537283550104,-0.508304885917085,-1.2856139379678062
75,Atlanta_sub61902,-0.6785354771097662,-0.7571811786309514,-2.1550380502595234,-0.35010464330170793
76,Atlanta_sub71337,-0.7387934202220767,-1.9004689059129976,-1.3862794574865447,-1.6691751220722923
77,Atlanta_sub72096,-2.371948404324595,-8.742978393798916,-2.418698830701267,-0.7529733187255235
81,Atlanta_sub81596,-0.7679338253317844,-0.6917196016679744,-1.5002247201958534,-0.8077219211960165
82,Atlanta_sub86323,-1.230513345838461,-1.5654752088497108,-0.7190847430812419,-0.016501121841009176
83,Atlanta_sub91049,-1.012311413043172,-1.6726592771093867,-0.6887989535089909,-0.6003806028296723
84,Baltimore_sub17017,-0.6217922919584681,-0.7522567367931559,-0.29556435547620735,-0.538717421234087
85,Baltimore_sub19738,-1.0773763013558804,-0.7661040905253158,-1.47006971280125,-0.4540098713561927
86,Baltimore_sub23750,-2.5629769895175274,-2.0116912599727206,-0.5384157852450474,-0.23589192415296303
87,Baltimore_sub23927,-1.4372481444511787,-0.7451468590284556,-0.4510670818368441,-0.18100724200343737
88,Baltimore_sub29158,-1.017112063706117,-0.8192733247063182,-0.7167752308135941,0.09236292790782208
89,Baltimore_sub30072,-0.7184382496180123,-0.8090074139938271,-1.2640697293961716,0.04759867286619677
91,Baltimore_sub37548,-1.9517616317712334,-1.0856110696469974,-4.308670084215185,-0.5539691184061305
92,Baltimore_sub52358,-0.698244208443456,-0.8405909308711161,-1.0344591738491253,-0.36773647711311325
94,Baltimore_sub54329,-0.7720703504314588,-0.7964097242411201,-1.000614357209882,-0.06422513251410499
97,Baltimore_sub77572,-1.1391503245257726,-0.9151697722126229,-2.5100154654719047,0.003428651297306877
99,Baltimore_sub81887,-0.6720862493784199,-0.9903016462550316,-0.5454601129541207,-0.10438988701234855
100,Baltimore_sub85922,-1.2401765470083042,-0.7856017757398295,-1.763886664349808,-0.18064398438322332
101,Baltimore_sub86414,-0.8250276888203042,-1.0461729775552322,-0.29246280125661556,0.034789258197242365
102,Baltimore_sub90658,-1.1310967661408224,-0.7865807079875627,-0.4820914944847835,0.04310977565018752
103,Baltimore_sub90893,-1.2012056472078874,-1.0962882604407451,-0.6842050017140325,-0.5191683646978857
104,Baltimore_sub91622,-0.7484235222443892,-1.3043027905829772,-0.9623207340486188,-0.003185612650217491
